100 3
0.460409 0.0479091 1.82488 
0.127379 8.74955 9.47016 
0.927641 0.445183 0.317238 
0.687827 0.529743 0.987166 
0.628349 1.78903 0.987166 
0.82682 0.0650385 0.987174 
0.142439 0.408499 1.11842 
0.900589 0.307159 0.652728 
0.430104 0.889962 0.987168 
0.900576 0.827529 0.341101 
0.863365 1.08659 0.987165 
0.467414 0.150736 0.987168 
0.131986 0.221812 1.63061 
0.12798 0.672323 1.10855 
1.12821 0.294791 0.337905 
0.254487 0.198897 0.987168 
0.186074 1.16314 0.987167 
0.507217 0.659869 0.987167 
0.461165 1.23359 0.987166 
1.02037 0.295478 0.495709 
0.901361 0.295687 0.886917 
0.762464 1.38785 0.987166 
0.603579 0.342641 0.987167 
0.664174 0.16164 0.987168 
0.26636 0.408224 0.987168 
0.265711 0.674867 0.987168 
0.708354 0.815834 0.987166 
0.194171 0.904454 0.987167 
0.164562 0.0557604 3.08331 
0.127595 7.61446 10.6959 
0.521825 0.0486213 1.37803 
0.127672 9.61114 7.80921 
0.157991 0.252134 1.06908 
0.521773 0.439893 0.987168 
0.541592 0.0723112 0.987168 
0.181899 0.0582262 1.2795 
0.900533 0.331912 0.375697 
0.577567 0.840118 0.987166 
0.455082 1.51957 0.987166 
0.127757 0.862293 1.13107 
0.19438 0.54678 0.987168 
0.647326 1.49639 0.987164 
0.340616 0.185132 0.987168 
0.465351 1.05362 0.987166 
0.213368 0.125311 0.987168 
0.127783 0.641922 2.05503 
0.464371 1.79458 0.987166 
0.490487 0.527023 0.987167 
0.351395 1.31814 0.987166 
0.554733 0.186708 0.987168 
0.907558 0.295433 0.777628 
0.362333 0.978697 0.987167 
0.923495 0.36699 0.319489 
0.72448 0.0785263 0.987168 
0.129961 0.316263 1.5568 
1.08158 0.356707 0.318441 
0.127468 9.8707 9.07513 
0.162816 0.307555 0.987168 
0.1578 0.136827 1.12304 
0.48523 0.802892 0.987167 
0.602632 0.469629 0.987166 
1.07826 0.294902 0.393314 
0.840047 1.20315 0.987165 
0.201691 0.0697217 0.987172 
0.431648 0.64382 0.987167 
0.752669 1.23955 0.987166 
0.129756 0.336868 1.27405 
0.901425 0.295928 0.582 
0.32735 0.0654923 0.987221 
0.901461 0.105273 0.987168 
0.153285 0.119291 1.44714 
0.58342 0.686441 0.987167 
0.561158 0.923591 0.987166 
0.572372 0.392744 0.987167 
0.208324 0.220339 0.987168 
0.241119 0.454849 0.987168 
0.900662 0.303636 0.471693 
0.6161 1.35193 0.987166 
0.130262 0.597723 1.09303 
0.18974 0.164426 0.987168 
0.420988 0.172777 0.987168 
0.486838 0.0692149 0.987201 
0.456948 0.048184 1.52893 
0.836122 1.35461 0.987166 
0.563789 1.6171 0.987166 
0.418247 0.0538649 0.987206 
0.664059 0.355766 0.987166 
0.558186 1.45268 0.987166 
0.146597 0.14041 2.14783 
0.1332 0.205207 1.145 
0.900571 0.309749 0.409764 
0.904426 0.295694 0.353515 
0.183064 0.594476 0.987168 
0.405752 1.1582 0.987166 
0.128575 0.408879 1.27407 
0.502943 0.91496 0.987167 
0.509371 0.607525 0.987167 
0.157913 0.799621 1.01502 
0.187289 0.0493404 1.05784 
0.901365 0.295709 0.723519 
