100 3
1.62706 0.000387411 1.26632e-14 
4.40632e-06 0.00373205 1.00215 
0.0522296 0 0.998635 
0.584752 3.0162e-08 0.811212 
0.604502 1.24742e-07 0.796604 
0.604502 3.22894e-08 0.796604 
0.604502 3.02629e-08 0.796604 
0.604502 3.02969e-08 0.796604 
0.604502 0.000278014 0.796604 
0.604502 3.27702e-08 0.796604 
0.604502 1.33412e-07 0.796604 
0.604502 2.04086e-07 0.796604 
0.604502 4.18495e-05 0.796604 
0.604502 2.02947e-10 0.796604 
0.604502 2.02424e-10 0.796604 
0.604502 3.14949e-08 0.796604 
0.604502 2.9993e-08 0.796604 
0.604502 2.9993e-08 0.796604 
0.604502 2.75826e-08 0.796604 
0.604502 2.67635e-08 0.796604 
0.604502 2.67635e-08 0.796604 
0.604502 2.18216e-08 0.796604 
0.604502 4.76653e-10 0.796604 
0.604502 4.69974e-10 0.796604 
0.604502 4.69974e-10 0.796604 
0.604502 6.63658e-10 0.796604 
0.604502 1.56806e-07 0.796604 
0.604502 2.9999e-08 0.796604 
0.604502 1.95623e-07 0.796604 
0.604502 1.83166e-07 0.796604 
0.604502 4.18219e-05 0.796604 
0.604502 3.6921e-10 0.796604 
0.604502 3.6921e-10 0.796604 
0.604502 1.53325e-07 0.796604 
0.604502 1.43201e-07 0.796604 
0.604502 1.92527e-07 0.796604 
0.604502 1.53311e-07 0.796604 
0.604502 1.53311e-07 0.796604 
0.604502 1.53311e-07 0.796604 
0.604502 1.53311e-07 0.796604 
0.604502 3.48951e-06 0.796604 
0.604502 1.5084e-07 0.796604 
0.604502 5.23644e-10 0.796604 
0.604502 5.23644e-10 0.796604 
0.604502 1.78485e-07 0.796604 
0.604502 1.78485e-07 0.796604 
0.604502 1.79096e-07 0.796604 
0.604502 1.79094e-07 0.796604 
0.604502 1.78507e-07 0.796604 
0.604502 1.78507e-07 0.796604 
0.604502 1.8317e-07 0.796604 
0.604502 1.83169e-07 0.796604 
0.604502 1.83169e-07 0.796604 
0.604502 1.83053e-07 0.796604 
0.604502 1.83166e-07 0.796604 
0.604502 1.77514e-07 0.796604 
0.604502 1.77508e-07 0.796604 
0.604502 1.77508e-07 0.796604 
0.604502 1.62527e-07 0.796604 
0.604502 1.63329e-07 0.796604 
0.604502 1.79905e-07 0.796604 
0.604502 1.80806e-07 0.796604 
0.604502 1.53323e-07 0.796604 
0.604502 9.50473e-10 0.796604 
0.604502 9.17516e-10 0.796604 
0.604502 9.15505e-10 0.796604 
0.604502 9.15505e-10 0.796604 
0.604502 9.15505e-10 0.796604 
0.604502 6.22586e-10 0.796604 
0.604502 2.91499e-10 0.796604 
0.604502 1.93447e-07 0.796604 
0.604502 2.91756e-08 0.796604 
0.604502 1.52011e-07 0.796604 
0.604502 1.52045e-07 0.796604 
0.604502 1.51938e-07 0.796604 
0.604502 1.5203e-07 0.796604 
0.604502 1.51562e-07 0.796604 
0.604502 1.52003e-07 0.796604 
0.604502 3.3089e-08 0.796604 
0.604502 1.74947e-09 0.796604 
0.604502 1.78093e-07 0.796604 
0.604502 1.78073e-07 0.796604 
0.604502 2.6055e-09 0.796604 
0.604502 3.61737e-09 0.796604 
0.604502 3.5554e-08 0.796604 
0.604502 3.62056e-09 0.796604 
0.604502 4.93004e-09 0.796604 
0.604502 3.02863e-08 0.796604 
0.604502 3.02601e-08 0.796604 
0.604502 3.02867e-08 0.796604 
0.604502 3.07021e-08 0.796604 
0.604502 1.66857e-07 0.796604 
0.604502 2.25356e-10 0.796604 
0.604502 1.6713e-07 0.796604 
0.604502 1.67671e-07 0.796604 
0.604502 1.66979e-07 0.796604 
0.604502 1.66326e-07 0.796604 
0.604502 9.46237e-08 0.796604 
0.604502 7.65763e-08 0.796604 
0.604502 9.65752e-08 0.796604 
