100 3
1.97245e-14 0.15531 1.27581 
0.00867653 4.93432e-17 1.00013 
0.999629 1.50263 2.68973e-09 
0.256981 32.4735 0.966567 
1.2363 0.301892 0.91473 
0.999538 23.597 0.0312068 
0.995722 24.6629 0.0965406 
0.995685 31.5409 0.0982351 
0.989511 32.3413 0.1454 
0.81125 7.902 0.797698 
0.7935 20.8675 0.68263 
0.768769 32.401 0.669052 
1.86735e-06 0.121932 1.72901 
1.37965 1.36448 0.000982567 
1.14049 0.642226 0.766383 
1.66771e-07 1.95947 1.2758 
1.32779e-06 8.91002 1.27447 
6.25551e-08 11.949 1.23128 
3.84342e-08 14.7154 1.23089 
1.45643 0.412401 0.761016 
0.562998 8.13933 0.923216 
0.486563 29.585 0.899281 
0.470927 31.5154 0.882612 
0.453912 32.0856 0.891414 
0.949602 32.4635 0.313713 
1.00109 0.936151 0.69775 
1.00386 0.716313 0.918867 
0.561114 32.4272 0.83503 
1.1388 1.03106 0.245337 
0.922915 31.202 0.4689 
1.09356 1.33962 0.253724 
1.50519e-05 19.4056 1.10886 
0.912707 31.5988 0.427815 
0.874391 32.4364 0.5044 
1.22684 0.48078 0.848308 
0.369227 32.4728 0.929759 
0.792984 14.2615 0.785936 
0.658701 32.2455 0.755633 
0.890518 14.3204 0.58586 
0.00739606 14.8445 1.18711 
0.635432 32.4438 0.772376 
0.55163 8.28313 0.923208 
0.790927 32.4598 0.637327 
5.82217e-09 20.2409 1.02432 
0.868433 6.81386 0.664873 
0.860701 22.6033 0.560629 
0.924136 32.4597 0.382289 
0.394768 11.9063 0.978207 
0.448991 13.9735 0.948462 
0.698077 32.3186 0.71677 
0.845124 17.4194 0.608281 
0.845023 19.9472 0.607853 
1.18325 1.0466 0.0559381 
2.06735e-06 21.2643 1.01363 
0.995333 14.9861 0.259541 
1.42404e-06 30.5293 1.01175 
1.42409e-06 31.0456 1.00938 
0.831799 32.2976 0.555762 
0.830703 32.3557 0.57199 
0.988931 17.4893 0.204286 
0.929464 1.50444 0.554834 
1.13231 1.21592 0.121045 
0.698055 23.6908 0.755309 
0.405616 32.4676 0.914812 
1.17674 0.53909 0.371125 
0.985754 22.8497 0.204201 
0.597932 4.41984 0.889877 
1.42555e-06 31.8445 1.00039 
1.42452e-06 32.0546 1.00037 
0.00714137 32.3127 1.0002 
0.034452 32.4369 0.999536 
0.599261 14.375 0.803834 
0.591639 27.595 0.808944 
0.599301 28.5204 0.802372 
0.10219 12.3744 0.995376 
0.102729 12.5583 0.995363 
0.102726 32.2881 0.994994 
0.864177 30.9096 0.532167 
0.723958 31.4978 0.709757 
0.983972 17.4769 0.22982 
0.29787 29.3027 0.955181 
0.128686 32.4156 0.991913 
0.297921 31.6933 0.954922 
0.297872 32.3803 0.954785 
1.04513 1.36439 0.0430883 
0.512212 29.4882 0.859395 
0.918036 15.2754 0.493221 
0.913742 32.4435 0.40653 
0.983089 19.7431 0.228252 
0.147912 32.4573 0.989168 
0.865256 9.90548 0.616782 
0.814537 22.7432 0.593771 
0.230802 31.7839 0.987164 
0.813729 28.6011 0.592287 
0.544582 31.6977 0.853669 
0.174739 32.4691 0.984884 
0.922902 31.2298 0.442541 
0.452111 21.3276 0.916963 
0.577468 24.4748 0.829913 
0.275663 11.3969 0.994309 
