100 3
5.50273e-08 0.725957 1.3005 
0.716161 0.134282 0.748538 
1.60393 1.80695 8.96779e-08 
1.16796 0.826183 0.00445443 
0.716175 1.85051 0.697921 
0.717268 1.71686 0.696797 
0.717268 1.71686 0.696797 
0.716757 1.35827 0.697323 
0.716757 1.3548 0.697323 
0.716735 1.34463 0.697346 
0.716725 1.33833 0.697357 
0.716737 1.32759 0.697344 
0.716197 1.31573 0.697899 
0.783834 1.1821 0.684115 
0.716725 1.29342 0.697356 
0.716698 1.21758 0.697383 
0.717188 1.18157 0.69688 
0.728888 1.14523 0.684633 
0.684864 1.25605 0.728671 
0.94235 0.897624 0.679594 
0.717085 1.12795 0.696986 
0.717173 1.1158 0.696896 
0.717173 1.1158 0.696896 
0.71616 1.11507 0.697936 
0.717199 1.10397 0.696868 
0.717199 1.09326 0.696868 
0.81443 0.929765 0.629455 
0.687199 1.15761 0.72647 
0.715944 1.07987 0.698158 
0.729092 1.05137 0.684416 
0.716735 1.07592 0.697346 
0.716735 1.07443 0.697346 
0.716735 1.0743 0.697346 
0.728248 1.04899 0.685314 
0.71719 1.07196 0.696878 
0.716888 1.06659 0.697188 
0.71721 1.06455 0.696857 
0.717175 1.06452 0.696893 
0.717157 1.0639 0.696911 
0.717157 1.0639 0.696911 
0.716589 1.0644 0.697496 
0.716757 1.06144 0.697323 
0.716757 1.06144 0.697323 
0.716757 1.06144 0.697323 
0.716589 1.05813 0.697496 
0.717121 1.05531 0.696949 
0.717064 1.05473 0.697008 
0.717064 1.05473 0.697008 
0.717064 1.05473 0.697008 
0.716693 1.05408 0.697389 
0.716693 1.05408 0.697389 
0.717207 1.05238 0.696861 
0.716621 1.05151 0.697463 
0.716617 1.05125 0.697467 
0.716617 1.05125 0.697467 
0.716627 1.04773 0.697457 
0.716339 1.04344 0.697752 
0.716609 1.04213 0.697476 
0.716609 1.04213 0.697476 
0.716609 1.04213 0.697476 
0.716609 1.0421 0.697476 
0.903296 0.859303 0.688875 
0.716725 1.03749 0.697356 
0.716725 1.03739 0.697356 
0.716587 1.03691 0.697498 
0.716728 1.03604 0.697353 
0.71673 1.03563 0.697351 
0.716676 1.03546 0.697406 
0.716695 1.03495 0.697387 
0.717114 1.0326 0.696956 
0.716698 1.03267 0.697383 
0.716698 1.03263 0.697383 
0.717172 1.03039 0.696896 
0.717172 1.03039 0.696896 
0.716691 1.02991 0.697391 
0.716693 1.02763 0.69739 
0.716728 1.0232 0.697353 
0.716728 1.0232 0.697353 
0.717175 1.02041 0.696893 
0.716765 1.02101 0.69732 
0.717172 1.01491 0.696896 
0.717165 1.00333 0.696904 
0.701642 1.03281 0.71253 
0.716693 0.999972 0.697389 
0.716693 0.999895 0.697389 
0.716693 0.999895 0.697389 
0.716693 0.99952 0.697389 
0.716693 0.991774 0.697389 
0.708089 1.00041 0.706123 
0.717165 0.982375 0.696904 
0.716757 0.980523 0.697323 
0.717165 0.97189 0.696904 
0.717165 0.968511 0.696904 
0.711315 0.978062 0.702873 
0.717188 0.966054 0.69688 
0.716569 0.957163 0.697516 
0.717199 0.946468 0.696868 
0.716698 0.946569 0.697384 
0.716197 0.944822 0.697899 
0.687199 1.00042 0.72647 
