100 3
1 0 5.29652e-17 
6.12323e-17 3.93819e-33 1 
0.410229 0.913394 0.00827564 
0.707107 0 0.707107 
0.911154 5.86014e-17 0.412066 
0.400579 0 0.916262 
0.607114 0 0.794614 
0.969033 6.23239e-17 0.246932 
0.789454 5.07742e-17 0.613809 
0.23382 0 0.97228 
0.993104 0.117329 7.42582e-06 
0.534886 0 0.844924 
0.839895 0 0.542749 
0.411982 0.911364 0.00831338 
0.139405 8.96589e-18 0.990235 
0.483011 0 0.875614 
0.669139 0 0.743137 
0.870625 0 0.491947 
0.750356 0 0.661034 
0.98623 0 0.165382 
0.345093 2.21949e-17 0.938568 
0.934006 6.00711e-17 0.357256 
0.632509 0 0.774553 
0.57208 0 0.820198 
0.810134 0 0.586245 
0.993891 0 0.11037 
0.451693 0 0.892173 
0.887167 0 0.461449 
0.304511 1.95848e-17 0.952509 
0.948341 6.09931e-17 0.317252 
0.727389 0 0.686226 
0.0826553 5.31602e-18 0.996578 
0.766031 0 0.642803 
0.82294 0 0.568128 
0.514864 3.31138e-17 0.857272 
0.684352 0 0.729152 
0.85225 0 0.523135 
0.430774 0 0.90246 
0.997959 0 0.063861 
0.897433 5.77189e-17 0.441151 
0.276332 0 0.961062 
0.648204 0 0.761467 
0.957195 0 0.289443 
0.590882 3.80029e-17 0.806758 
0.378958 0 0.925414 
0.920529 0 0.390675 
0.557745 0 0.830012 
0.209599 0 0.977787 
0.776465 0 0.63016 
0.974303 0 0.225242 
0.501732 3.22692e-17 0.865023 
0.736786 0 0.676126 
0.860012 0 0.510275 
0.049031 3.15346e-18 0.998797 
0.697951 0 0.716145 
0.797831 0 0.602881 
0.62216 5.42776e-16 0.78289 
0.470627 0 0.882332 
0.19086 0 0.981617 
0.36481 0 0.931082 
0.329213 0 0.944256 
0.877336 0 0.479877 
0.926339 0 0.376691 
0.659454 0 0.751745 
0.939854 0 0.341577 
0.829925 0 0.557875 
0.978296 0 0.207213 
0.716522 0 0.697564 
0.548367 5.27507e-05 0.836238 
0.418744 0 0.908104 
0.903058 0 0.429519 
0.999276 0 0.038052 
0.260223 0 0.965549 
0.961673 0 0.274201 
0.756737 0 0.65372 
0.175287 1.12737e-17 0.984517 
0.583249 0 0.812293 
0.803201 0 0.595708 
0.526909 0 0.849921 
0.678301 0 0.734784 
0.981391 0 0.192021 
0.844894 0 0.534933 
0.641883 0 0.766803 
0.78173 5.02774e-17 0.623617 
0.613716 3.94715e-17 0.789527 
0.815235 5.24323e-17 0.57913 
0.462645 0 0.886544 
0.742105 0 0.670283 
0.31888 0 0.947795 
0.881537 5.66965e-17 0.472115 
0.943496 6.06814e-17 0.331385 
0.494246 3.17877e-17 0.869322 
0.44349 0 0.896279 
0.600172 0 0.799871 
0.987918 0 0.154975 
0.692508 0 0.72141 
0.864308 5.55884e-17 0.502963 
0.293614 1.88839e-17 0.955924 
0.891271 7.45366e-08 0.453472 
0.95174 0 0.306906 
