100 3
0.0196125 1.2059e-08 1.00076 
1.00019 0.243926 6.22613e-14 
2.07027e-08 0.00143087 1.00009 
0.999631 0.337657 0.0293108 
0.603583 1.49192 0.797301 
0.114139 0.261244 0.997226 
0.804659 1.13812 0.59374 
1.00152 0.0250524 0.0779989 
0.800839 0.830762 0.603295 
0.856556 0.122043 0.516139 
0.98187 0.380949 0.189758 
0.765766 0.510476 0.64312 
0.981869 0.476152 0.189758 
0.993139 0.429267 0.133491 
0.970822 0.960412 0.241304 
0.99856 0.37519 0.0753861 
0.744681 0.182422 0.687131 
0.712721 1.04494 0.701449 
0.75218 0.771702 0.659096 
0.99331 0.952549 0.11598 
0.530802 0.926534 0.847535 
0.840987 0.564673 0.541175 
0.856523 0.668188 0.516187 
0.998388 0.569649 0.0580205 
0.970451 1.18567 0.241304 
0.977547 1.01288 0.21103 
0.604339 0.262648 0.798377 
1.00569 0.242755 3.3744e-08 
0.821565 0.93062 0.57019 
0.676038 1.23863 0.73687 
0.609735 0.951557 0.792764 
0.996833 1.60362 0.0795323 
0.60349 0.629406 0.797555 
0.818261 0.692984 0.574849 
0.854204 0.455489 0.520004 
0.860466 0.0822759 0.509698 
0.972033 0.458962 0.24204 
0.603502 0.917359 0.797547 
0.813304 0.711893 0.581864 
0.990356 0.703492 0.138862 
0.815562 0.722897 0.578713 
0.752038 1.71849 0.659141 
0.726562 1.07079 0.687131 
0.997195 1.42062 0.0748474 
0.71207 1.11576 0.702137 
0.726534 0.322028 0.687131 
0.983584 1.26317 0.180471 
0.990609 0.879978 0.136827 
0.975408 0.251442 0.220813 
0.752038 1.71849 0.659141 
0.998365 1.03928 0.0580209 
0.98187 0.380949 0.189758 
0.528729 0.391753 0.848825 
0.725525 1.25323 0.688206 
0.519033 0.154968 0.8548 
0.751846 0.401156 0.659404 
0.0149269 0.000991582 1.00013 
0.970759 1.33836 0.240128 
0.726562 0.755182 0.687131 
0.99074 0.580985 0.136242 
0.818261 0.592765 0.574849 
0.603631 0.939685 0.797301 
1.00014 0.363274 2.57384e-09 
0.981899 0.116122 0.189603 
0.994276 0.104216 0.106866 
0.821286 0.114325 0.570627 
0.999454 0.523048 0.0331409 
0.815562 0.506981 0.578713 
0.98735 0.590042 0.158563 
0.984156 0.244222 0.177307 
0.729072 0.645319 0.684438 
0.603489 0.872199 0.797553 
0.993955 0.69083 0.109883 
0.856393 0.226484 0.516452 
0.821475 0.106555 0.570835 
0.856556 0.122043 0.516139 
0.990187 0.0983301 0.147612 
0.997195 1.59673 0.0748474 
0.987307 0.740965 0.159234 
0.82958 1.32985 0.55839 
0.604314 0.180936 0.798668 
0.99401 1.13008 0.109306 
0.994846 0.450546 0.101409 
0.9827 0.255668 0.185218 
0.859887 0.106586 0.511204 
0.995243 0.790626 0.0974437 
0.765712 1.21348 0.643264 
0.974884 1.32486 0.222802 
0.970759 1.06594 0.240128 
0.815562 0.848691 0.578712 
0.817254 0.768854 0.57628 
0.829067 0.36433 0.559269 
0.901401 1.242 0.433031 
0.531198 0.506442 0.847447 
0.485606 0.649312 0.874211 
0.830396 0.741319 0.557177 
0.97013 1.2712 0.242748 
0.85288 0.296187 0.522194 
0.985109 0.244456 0.172206 
0.578817 1.38798 0.815601 
