100 3
0.000163637 1.63131e-10 1.00002 
1.82582e-13 2.30204 1.00067 
1.01071 1.92887 5.00711e-14 
0.0228636 30.6119 0.999739 
0.999921 20.9651 0.0125823 
0.0135462 14.8431 0.999909 
0.999729 10.8324 0.0232689 
0.999919 27.03 0.012762 
0.011983 8.27091 0.999929 
0.0324788 18.8842 0.999473 
0.00603937 24.5491 0.999983 
0.999497 6.036 0.031713 
0.998162 30.4322 0.060601 
0.999959 13.4766 0.00914978 
0.999552 17.5694 0.0299546 
1.00001 23.1309 0.000235389 
0.0123334 4.74265 0.999925 
0.0200519 27.6237 0.9998 
7.3299e-07 11.5937 1.00001 
1.74571 0.500404 0.00257427 
0.0119295 21.6826 0.999929 
0.999759 8.49105 0.021982 
1 16.3262 0.000442893 
1.00015 3.89345 0.00229478 
0.999904 25.4627 0.0138832 
0.999752 29.1595 0.0231737 
0.000261051 9.62041 1 
0.0119834 6.39112 0.999928 
0.998612 19.6767 0.0526736 
0.0431151 13.465 0.999081 
0.0135462 17.5063 0.999909 
0.0119828 25.6304 0.999929 
2.01392e-07 0.961409 1.40934 
0.00957228 20.4976 0.999955 
0.0132779 29.4553 0.999912 
0.999959 15.3083 0.00914875 
0.999954 12.4809 0.00965193 
0.0119829 22.5804 0.999929 
0.99976 7.36513 0.021982 
5.22379e-06 3.19923 1.00001 
1 9.57346 0.000451575 
1.08725 0.202285 0.500254 
0.999919 28.2098 0.0127621 
0.128684 15.6626 0.991687 
0.997194 4.99616 0.0748682 
0.999922 18.4997 0.0125163 
0.0119828 26.6625 0.999929 
0.0346877 23.6467 0.999399 
0.897896 1.28751 0.862233 
0.998896 21.6229 0.0469899 
0.997195 3.00953 0.486509 
0.000117089 10.2317 1 
0.999959 14.3928 0.00914984 
0.0431152 7.31853 0.999591 
0.66663 12.627 0.745455 
0.000478592 5.5858 1.00001 
0.696731 16.3547 0.717334 
0.699303 28.6041 0.714837 
0.711477 26.2721 0.702719 
0.999759 11.5918 0.0219822 
0.0127845 19.8116 0.999919 
0.730239 22.6423 0.683201 
0.665854 8.89747 0.746675 
0.013638 4.02133 0.999936 
0.711472 10.6195 0.703491 
0.684421 29.8711 0.729088 
0.729778 18.1211 0.684203 
1.00892 1.05686 0.00778649 
0.801476 20.5891 0.617718 
0.609068 14.5563 0.793121 
0.723521 7.95412 0.691058 
0.647446 25.071 0.762112 
0.711477 27.5731 0.70294 
0.711479 19.033 0.702719 
2.63111e-07 1.65969 1.4075 
0.801476 17.1888 0.617717 
0.648255 5.76831 0.761464 
0.66663 11.5754 0.745459 
0.745783 2.25325 0.67768 
0.76124 7.0994 0.648545 
0.792663 9.72569 0.632368 
0.752233 21.5855 0.658975 
0.609211 3.59219 0.793121 
0.998895 26.0546 0.0469899 
0.783838 15.2104 0.633221 
0.754685 19.9356 0.658919 
0.694559 13.2655 0.72027 
0.000260942 13.8742 1 
0.998667 4.48289 0.053478 
0.00148509 18.3655 0.999999 
0.147871 10.9875 0.989018 
0.999941 23.3576 0.0108818 
0.041155 20.9987 0.999153 
0.764066 14.0714 0.645145 
0.649153 26.9572 0.760667 
0.0200519 27.9695 0.9998 
0.997201 2.48473 0.0753824 
0.989206 16.8322 0.146752 
0.684437 22.1039 0.729099 
0.0132779 29.8868 0.999913 
