100 3
0.022946 0.0877671 0.997387 
0.0210771 0.0888384 0.99668 
0.0231733 0.0886951 0.99582 
0.272101 0.0886946 0.99582 
0.74863 0.0886944 0.99582 
1.90447 0.088694 0.99582 
0.662114 0.0886947 0.99582 
0.0890156 0.0886942 0.99582 
0.139556 0.0886941 0.99582 
0.15874 0.0886946 0.99582 
0.296692 0.0886941 0.99582 
0.241816 0.0886947 0.99582 
0.1262 0.0886946 0.99582 
0.704958 0.0886944 0.99582 
0.496494 0.0886944 0.99582 
0.236736 0.0886941 0.99582 
0.679151 0.0886948 0.99582 
0.781315 0.0886946 0.99582 
0.939762 0.0886942 0.99582 
0.489081 0.0886944 0.99582 
0.375218 0.0886946 0.99582 
0.66006 0.0886941 0.99582 
0.143714 0.0886946 0.99582 
0.0500986 0.0886941 0.99582 
0.784935 0.0886941 0.99582 
0.391392 0.0886941 0.99582 
0.912874 0.088694 0.99582 
0.295239 0.0886944 0.99582 
0.131405 0.100575 0.99582 
0.230309 0.0886941 0.99582 
1.2343 0.0886946 0.99582 
0.0673894 0.0886948 0.99582 
0.383478 0.0886941 0.99582 
0.314656 0.0886941 0.99582 
0.91581 0.088694 0.99582 
0.223325 0.0886941 0.99582 
0.314656 0.0886941 0.99582 
0.769724 0.0886942 0.99582 
0.288093 0.0886945 0.99582 
0.39149 0.0886944 0.99582 
0.358744 0.0886944 0.99582 
0.853514 0.0886946 0.99582 
0.084514 0.088694 0.99582 
0.215208 0.0886948 0.99582 
0.25498 0.0886946 0.99582 
0.582053 0.0886942 0.99582 
0.266367 0.0886946 0.99582 
1.33875 0.0886941 0.99582 
0.111453 0.0886941 0.99582 
0.0690611 0.0888246 0.99582 
0.424575 0.088694 0.99582 
0.178087 0.0886946 0.99582 
0.67446 0.0886942 0.99582 
0.304881 0.0886946 0.99582 
0.614797 0.0886941 0.99582 
0.502876 0.0886946 0.99582 
0.0366391 0.0886944 0.99582 
0.139963 0.0886941 0.99582 
0.263611 0.0886941 0.99582 
0.428796 0.0886946 0.99582 
0.221344 0.0886941 0.99582 
0.966912 0.0886941 0.99582 
0.224428 0.0886944 0.99582 
0.152677 0.0886942 0.99582 
0.25289 0.0886946 0.99582 
0.20458 0.088694 0.99582 
0.58297 0.0886942 0.99582 
0.893429 0.0886941 0.99582 
0.0228189 0.0888226 0.99582 
0.17959 0.0886942 0.99582 
0.629155 0.0886945 0.99582 
0.179591 0.0886944 0.99582 
0.157685 0.0886946 0.99582 
0.47262 0.0886942 0.99582 
0.1042 0.0886941 0.99582 
0.134578 0.0886941 0.99582 
0.359155 0.0886944 0.99582 
0.224277 0.0886942 0.99582 
0.599614 0.088694 0.99582 
0.377588 0.0886941 0.99582 
0.0524816 0.0886941 0.99582 
0.665216 0.0886944 0.99582 
0.94237 0.0886941 0.99582 
0.314163 0.0886946 0.99582 
0.793064 0.0886944 0.99582 
0.0353519 0.0886941 0.99582 
0.627009 0.0886942 0.99582 
0.428796 0.0886946 0.99582 
0.16418 0.0886946 0.99582 
0.55981 0.0886944 0.99582 
0.125494 0.0886942 0.99582 
0.304135 0.0886948 0.99582 
0.843733 0.0886946 0.99582 
0.119036 0.0886942 0.99582 
0.022946 0.0877671 0.997387 
0.979496 0.0886947 0.99582 
0.0306953 0.0886946 0.99582 
0.0876054 0.0886941 0.99582 
0.208418 0.0886941 0.99582 
0.582963 0.0886942 0.99582 
