100 3
7.03955e-05 0.000617563 1.00005 
0.329215 0.944297 0.00328308 
0.000644307 0.000428863 1.00015 
0.102714 0.527838 1.35241 
0.329276 2.24965 3.85299e-10 
1.47452 0.911778 0.042313 
0.000161584 1.61126 1 
0.87955 1.32738e-05 1.00003 
0.473577 0.910594 0.800717 
2.03288e-06 0.00609562 1.74543 
0.360314 1.59526 4.83547e-10 
0.131826 1.29291 0.480608 
0.482412 1.46093e-08 1.41285 
0.862084 0.910323 0.130306 
0.000164697 0.941767 1 
0.40077 0.470378 1 
0.610143 1.25029 1.67545e-10 
0.413051 3.81859e-07 1.0041 
0.329088 0.944343 0.419742 
6.60286e-05 0.447864 1.00021 
2.03392e-06 0.00581309 1.37651 
0.132696 1.23956 0.000819256 
0.329218 1.91893 4.50265e-06 
0.234832 9.50729e-08 1.21493 
0.562184 0.910375 0.13276 
0.1401 0.995365 0.261249 
1.34515e-06 0.207943 1.52504 
0.030408 0.693521 1 
0.32978 1.36532 4.09069e-09 
0.769341 1.06833 0.000123047 
0.000226469 0.236335 1 
0.329387 1.15338 1.2492e-05 
0.670967 1.57235e-08 1.01306 
1.02057 0.944707 2.40405e-05 
0.135792 1.03307 0.00916048 
1.28451 0.970384 1.97473e-05 
0.328652 0.978571 0.921864 
1.4655e-06 0.162708 1.25557 
0.000163107 1.13053 1 
0.465775 0.910715 0.303439 
0.131813 1.4729 0.486536 
0.491251 0.910632 0.484044 
0.219654 2.42395e-07 1.04112 
0.329115 0.944925 0.16898 
0.477198 1.01809 0.000184674 
0.534452 0.0968557 1 
1.09994e-05 0.00247958 1.22839 
0.46425 0.910679 0.629713 
0.0658555 2.44255e-05 1.62195 
0.100575 0.0944962 1.00001 
0.748829 0.910923 0.058663 
0.386937 0.601389 1 
0.503021 1.17565 2.98184e-10 
0.132183 1.36436 0.00339682 
0.132039 1.21501 0.385249 
0.102672 1.09126e-07 1.31997 
0.238677 1.08387 0.00496788 
0.631267 0.91097 0.0423739 
0.03909 6.64825e-05 1.12219 
1.86456e-06 0.154374 1.06988 
0.369345 1.8197 2.87744e-10 
0.328635 0.978729 0.517425 
0.771738 9.27182e-06 1.00004 
0.467047 0.92777 0.147027 
0.510473 6.23046e-07 1.00014 
0.411206 0.931496 0.729416 
0.0289099 0.539852 1 
0.210659 1.18332 0.00392587 
0.108667 4.2863e-07 1.06121 
0.423459 0.933474 0.551212 
0.329091 1.00829 0.0656242 
0.329788 1.07051 0.000111429 
0.515052 0.944608 0.000135408 
0.330061 1.28425 4.51355e-09 
0.941785 0.910256 0.131016 
0.329259 1.66735 7.97033e-10 
0.765881 0.910329 0.134325 
0.154223 4.2863e-07 1.0003 
0.204873 1.00856 0.0158661 
0.531883 0.912496 0.0659699 
0.0010811 0.868721 1 
0.328729 0.953372 0.349239 
0.771965 1.13935 1.85393e-09 
0.398124 0.944279 0.000249979 
0.000157285 0.602257 1 
0.372378 1.41874 3.36488e-10 
0.448019 0.942438 0.444901 
1.54871e-06 0.0124383 1.29242 
1.51397e-05 0.00013683 1.06408 
0.0574336 0.139129 1 
0.329098 0.950796 0.0858531 
0.329284 1.01054 0.000189388 
0.423341 0.926144 0.67065 
0.386799 0.944265 0.154727 
0.131904 1.21591 0.0542049 
0.101069 0.0197277 1 
0.432898 0.944264 0.316017 
0.433207 0.913462 0.816604 
2.40227e-06 0.181828 1.04008 
0.260164 1.02087e-07 1.0413 
