100 3
1 8.41227e-08 0 
6.12323e-17 8.33944e-06 1 
0.302098 4.66294e-15 0.9544 
0.656571 0.758885 0.193839 
0.729547 0.00175552 0.68393 
0.656666 0.758885 0.00079913 
0.848153 0.00109231 0.531423 
0.586457 0.460357 0.80998 
0.586457 0.00289103 0.80998 
0.901593 0.160652 0.432586 
0.9058 2.16073e-05 0.423706 
0.492606 0.00192375 0.870252 
0.933713 0.47201 0.358023 
0.933713 0.35901 0.358023 
0.933713 0.10803 0.358023 
0.933713 0.00131052 0.358023 
0.784241 0.00393276 0.620457 
0.667936 0.123544 0.744218 
0.668265 4.66903e-06 0.743923 
0.436684 0.0473535 0.899615 
0.951104 0.00707432 0.308871 
0.433258 9.07738e-05 0.90127 
0.962325 0.00280192 0.271902 
0.869553 8.94168e-05 0.493839 
0.266053 2.19609e-08 0.963959 
0.549008 4.89738e-05 0.835817 
0.814139 0.000962062 0.58067 
0.629053 4.57832e-06 0.777363 
0.387801 0.00370734 0.921743 
0.237443 6.89618e-09 0.971401 
0.755955 0.00120881 0.654631 
0.701925 0.000682823 0.712251 
0.974856 0.00131506 0.222835 
0.214223 0.000263557 0.976785 
0.364072 0.2438 0.931379 
0.364072 0.184458 0.931379 
0.883024 0.00177534 0.469328 
0.527505 0.21874 0.849552 
0.979462 0.00932163 0.201629 
0.52624 0.0208305 0.850336 
0.354569 0.000108851 0.93503 
0.19411 0.00135787 0.98098 
0.91444 0.00022215 0.404722 
0.473921 0.000202106 0.880567 
0.530803 0.000569966 0.847495 
0.830168 0.29343 0.557514 
0.982539 0.00123337 0.186058 
0.609841 0.244944 0.792524 
0.608144 0.000910937 0.793827 
0.177309 0.0107577 0.984162 
0.686455 0.00789262 0.727172 
0.798675 0.440588 0.601762 
0.647641 0.000918809 0.761945 
0.769438 0.00490763 0.638729 
0.890663 0.000168477 0.454664 
0.833496 6.56434e-06 0.552526 
0.985429 0.000178705 0.170086 
0.166143 0.000154805 0.986102 
0.800316 0.00148494 0.599579 
0.515066 0.000197894 0.857151 
0.940049 4.39302e-05 0.34104 
0.920621 0.00133449 0.390458 
0.420496 0.00146729 0.907294 
0.461349 0.00382943 0.887219 
0.335909 0.2184 0.941894 
0.336289 0.0283857 0.941894 
0.335909 0.000463055 0.941894 
0.567562 8.79313e-06 0.823331 
0.987755 0.00216036 0.156013 
0.857619 0.00526728 0.514286 
0.717841 0.000708034 0.696207 
0.150315 0.00938858 0.988638 
0.822147 0.000172629 0.569275 
0.989401 0.0290251 0.145206 
0.989401 0.00798199 0.145206 
0.1417 0.000271179 0.98991 
0.410261 0.00364061 0.911968 
0.658747 1.40572e-05 0.752365 
0.598466 8.77368e-06 0.801148 
0.990726 0.259985 0.135878 
0.990726 0.00713558 0.135878 
0.73746 2.5237e-05 0.675391 
0.130549 0.000272013 0.991442 
0.323938 0.00235546 0.946079 
0.375525 0.000829522 0.926822 
0.894793 2.78661e-06 0.44648 
0.991935 0.0292002 0.12675 
0.954303 0.00232335 0.298842 
0.991967 0.000467526 0.126495 
0.293475 0.00308415 0.955967 
0.923953 0.0357182 0.382507 
0.923953 0.00138819 0.382507 
0.505728 6.52648e-07 0.862693 
0.861893 0.00193793 0.50709 
0.687176 0.000268129 0.727065 
0.448592 4.76502e-06 0.893737 
0.121871 0.000318133 0.992546 
0.876009 0.000217203 0.482296 
0.851752 0.00144062 0.525273 
0.836553 0.00154199 0.547886 
