100 3
0.000321938 1.33204e-11 1.00029 
0.976063 0.218782 8.67458e-17 
1.54183e-13 0.055301 1.00025 
0.266708 15.7604 0.963802 
0.973203 1.22706 0.230432 
0.00595161 1.00809 0.999984 
0.968893 2.85931 0.247875 
0.967755 9.09283 0.256784 
0.150655 2.36083 0.997304 
0.975995 0.0129134 0.820442 
0.537256 3.97284 0.8435 
0.00737011 5.24394 0.99998 
0.602595 0.597547 0.79861 
0.616235 6.74741 0.787566 
0.700313 1.61609 0.714024 
0.199164 7.85006 0.979982 
0.761419 10.5087 0.648376 
0.975267 4.53134 0.221868 
1.47724 0.0747495 0.382008 
0.896478 0.544357 0.44953 
0.414778 0.148713 0.950075 
0.768826 2.57656 0.639514 
0.21836 0.52145 0.975894 
0.430029 10.097 0.903094 
0.0035682 3.16995 1.00004 
0.383238 0.888129 0.923761 
1.66132 0.0153448 0.0719594 
0.772538 4.416 0.635678 
0.97531 1.812 0.221843 
0.42388 1.35758 0.90579 
0.460147 2.32669 0.89074 
0.00395585 1.59943 0.999994 
0.931161 11.7033 0.364761 
0.645465 0.965743 0.768037 
0.934283 6.37943 0.356626 
0.975276 0.746874 0.221868 
0.0635098 9.71677 0.997999 
0.849329 0.281423 0.635648 
0.788513 5.64982 0.615044 
0.431767 5.46181 0.902345 
0.415539 3.00499 0.916692 
0.788272 7.33899 0.615344 
0.901772 1.48501 0.438932 
0.882153 2.0687 0.471307 
0.723664 3.35497 0.703151 
0.625126 0.233608 0.780597 
0.0626274 0.30515 0.998228 
0.969993 0.40695 0.250203 
0.228685 1.13353 0.973512 
0.886599 1.06359 0.462883 
0.00394272 0.601708 0.999994 
0.529941 1.70681 0.848173 
0.82837 0.625275 0.660501 
0.43446 7.07843 0.902132 
0.188612 12.4364 0.982068 
0.891472 2.90519 0.453389 
0.608558 10.7567 0.793594 
0.212595 4.85198 0.977156 
0.451597 14.4347 0.892243 
0.934352 3.77874 0.356416 
0.751012 1.25181 0.660554 
0.755365 2.01843 0.655337 
0.845091 8.94062 0.539482 
0.192622 1.48947 0.982397 
0.0565876 6.81453 0.998651 
0.92874 4.95125 0.370782 
0.445136 0.656678 0.89549 
0.974494 2.30822 0.225436 
0.516349 0.418672 0.857004 
0.491745 8.25273 0.871018 
0.529969 1.10952 0.848173 
0.238127 0.27166 0.971961 
0.862509 0.118863 0.506278 
0.693442 8.88714 0.720554 
0.611111 1.35667 0.791626 
0.734648 0.786195 0.678753 
0.927804 0.85236 0.373514 
0.258267 6.57633 0.966146 
0.934283 7.81999 0.356626 
0.927818 0.287316 0.373514 
0.21256 10.3632 0.977157 
0.406631 4.54092 0.913723 
0.867767 4.47438 0.499022 
1.60522 0.178419 0.0466569 
0.692117 5.13363 0.721974 
0.0599231 0.779491 0.998247 
0.596306 2.2859 0.802771 
0.0711283 1.2913 0.997477 
0.389801 1.69052 0.920957 
0.700442 0.355781 0.714022 
0.400744 0.522677 0.967565 
0.535605 0.787042 0.844633 
0.286737 0.063832 0.977294 
0.538296 0.127412 0.844424 
0.964352 0.565022 0.268828 
0.934354 1.68057 0.356439 
0.96048 0.980766 0.284688 
0.31786 12.7339 0.948173 
0.216782 0.933398 0.976269 
0.602673 1.95735 0.798002 
