100 3
0.338969 0.345892 1.44812 
0.738214 0.805241 0.829581 
0.446751 0.277153 1.36717 
0.344562 0.341099 1.45872 
0.38293 0.343409 1.39682 
0.426779 1.16533 1.38506 
0.45 0.488402 1.31791 
0.2971 0.288425 2.11504 
0.734093 0.808633 0.885752 
0.294776 0.332191 2.2128 
0.731476 1.04629 0.830792 
0.301975 0.37873 1.69354 
0.740253 1.19393 0.828359 
0.722242 0.956866 0.883217 
0.4407 0.890355 1.33927 
1.35118 0.762418 0.853427 
0.657069 0.248601 1.44387 
0.294545 0.750387 1.71659 
0.356509 0.271633 1.7084 
0.723375 1.42353 0.882656 
0.411395 0.249855 1.91682 
0.748228 0.908317 0.828282 
0.73644 0.813096 0.875647 
0.748244 0.884696 0.828183 
0.723769 0.816757 0.882677 
0.730492 0.950065 0.833416 
0.435009 0.383579 1.36464 
0.743367 0.794984 1.27627 
0.748292 0.80599 0.828738 
0.403203 0.340444 1.50293 
0.4407 0.474383 1.34154 
0.471513 0.363438 1.34468 
0.30748 0.293103 1.74948 
0.348547 0.253829 1.75284 
0.661265 0.221632 1.46901 
0.661265 0.221632 1.46901 
0.727998 1.06962 0.852765 
0.734093 0.808633 0.885752 
0.301975 0.37873 1.69354 
0.726223 0.811992 0.876148 
0.4407 0.474383 1.34154 
0.294545 0.750387 1.71659 
0.45612 0.36254 1.34916 
0.294701 0.702583 1.68883 
0.71636 0.928641 1.07304 
0.403203 0.340444 1.50293 
0.302898 0.23014 1.94237 
0.403203 0.340444 1.50293 
0.403203 0.340444 1.50293 
1.40901 0.755363 0.862043 
0.294996 0.380638 1.9647 
0.403203 0.340444 1.50293 
0.294996 0.380638 1.9647 
1.35004 0.762959 0.852562 
0.295684 0.322432 1.74086 
0.661265 0.221632 1.46901 
0.435009 0.383579 1.36464 
0.299115 0.27603 1.76275 
0.722242 0.956866 0.883217 
0.542635 0.261713 1.58014 
0.753232 0.218912 1.45282 
0.520877 0.263248 1.60493 
0.619055 0.247586 1.54222 
0.734093 0.808633 0.885752 
0.785125 0.804135 0.848413 
0.4407 0.474383 1.34154 
1.18663 0.771797 0.858341 
0.300419 0.460408 1.69746 
1.06804 0.80222 0.847118 
0.29336 0.516215 2.20628 
0.48471 0.268772 1.60678 
0.722242 0.956866 0.883217 
0.324668 0.274991 1.7779 
0.726157 0.806429 0.885907 
0.726157 0.806429 0.885907 
1.13102 0.775937 0.889701 
0.29336 0.516215 2.20628 
1.18663 0.771797 0.858341 
0.561883 0.262604 1.56944 
0.300419 0.460408 1.69746 
0.403203 0.340444 1.50293 
1.18663 0.771797 0.858341 
0.323453 0.304843 1.69967 
0.593692 0.245132 1.79088 
0.487915 0.268921 1.59269 
0.736846 0.842828 0.828404 
1.35118 0.762418 0.853427 
0.722242 0.956866 0.883217 
0.29336 0.516215 2.20628 
0.301685 0.257611 1.80243 
0.830602 0.803706 1.2407 
0.727998 1.06962 0.852765 
0.559925 0.25244 1.57712 
0.296612 0.286921 2.33332 
0.523621 0.239828 1.8999 
0.661265 0.221632 1.46901 
0.720755 0.999806 0.885293 
0.29336 0.516215 2.20628 
1.42833 0.754704 0.862096 
0.372295 0.346541 1.41533 
